"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"12186290","JD391121","2020-10-06T22:52:00.000","048XX W RACE AVE","0820","THEFT","$500 AND UNDER","SIDEWALK","false","false","1532","015","28","25","06","1143881","1903220","2020","2020-10-13T15:49:45.000","41.890463022","-87.747055864","POINT (-87.747055864 41.890463022)","","","",""
"12186298","JD391201","2020-10-06T22:50:00.000","096XX S JEFFERY AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET","false","false","0431","004","7","51","04B","1191194","1841539","2020","2020-10-13T15:49:45.000","41.720188095","-87.575300047","POINT (-87.575300047 41.720188095)","","","",""
"12186263","JD391140","2020-10-06T22:50:00.000","076XX N BOSWORTH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","2422","024","49","1","07","1164635","1950634","2020","2020-10-13T15:49:45.000","42.020154788","-87.669488362","POINT (-87.669488362 42.020154788)","","","",""
"12186261","JD391162","2020-10-06T22:50:00.000","010XX W BALMORAL AVE","141A","WEAPONS VIOLATION","UNLAWFUL USE - HANDGUN","STREET","false","false","2023","020","48","77","15","1168127","1936034","2020","2020-10-13T15:49:45.000","41.980017106","-87.65706246","POINT (-87.65706246 41.980017106)","","","",""
"12186258","JD391124","2020-10-06T22:48:00.000","042XX S MICHIGAN AVE","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","ALLEY","false","false","0213","002","3","38","04B","1177863","1876930","2020","2020-10-13T15:49:45.000","41.817616557","-87.623057111","POINT (-87.623057111 41.817616557)","","","",""
"12186867","JD391154","2020-10-06T22:47:00.000","032XX S CANAL ST","0820","THEFT","$500 AND UNDER","STREET","false","false","0915","009","11","60","06","1173820","1883464","2020","2020-10-13T15:49:45.000","41.835637182","-87.637693861","POINT (-87.637693861 41.835637182)","","","",""
"12186730","JD391705","2020-10-06T22:45:00.000","003XX E 76TH ST","1365","CRIMINAL TRESPASS","TO RESIDENCE","APARTMENT","false","false","0623","006","6","69","26","1179620","1854688","2020","2020-10-13T15:49:45.000","41.756542351","-87.617291469","POINT (-87.617291469 41.756542351)","","","",""
"12186333","JD391144","2020-10-06T22:38:00.000","015XX W 91ST ST","0485","BATTERY","AGGRAVATED OF A CHILD","APARTMENT","true","true","2221","022","21","73","04B","1167460","1844381","2020","2020-10-13T15:49:45.000","41.72852756","-87.662150113","POINT (-87.662150113 41.72852756)","","","",""
"12186294","JD391126","2020-10-06T22:36:00.000","075XX S UNION AVE","0454","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY","SIDEWALK","true","false","0621","006","6","68","08B","1172939","1854897","2020","2020-10-13T15:49:45.000","41.757265857","-87.641769797","POINT (-87.641769797 41.757265857)","","","",""
"12186259","JD391117","2020-10-06T22:32:00.000","105XX S INDIANA AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true","0512","005","9","49","08B","1179445","1835176","2020","2020-10-13T15:49:45.000","41.703003004","-87.618526638","POINT (-87.618526638 41.703003004)","","","",""
"12186264","JD391129","2020-10-06T22:30:00.000","013XX W TOUHY AVE","0460","BATTERY","SIMPLE","SIDEWALK","false","false","2423","024","49","1","08B","1166066","1947970","2020","2020-10-13T15:49:45.000","42.012814161","-87.664299029","POINT (-87.664299029 42.012814161)","","","",""
"12186297","JD391181","2020-10-06T22:30:00.000","037XX W DOUGLAS BLVD","0560","ASSAULT","SIMPLE","APARTMENT","false","false","1011","010","24","29","08A","1151737","1893200","2020","2020-10-13T15:49:45.000","41.86281613","-87.718468282","POINT (-87.718468282 41.86281613)","","","",""
"12186823","JD391636","2020-10-06T22:30:00.000","044XX N KIMBALL AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1724","017","33","14","07","1152921","1929304","2020","2020-10-13T15:49:45.000","41.961865387","-87.713163609","POINT (-87.713163609 41.961865387)","","","",""
"12186275","JD391128","2020-10-06T22:25:00.000","076XX S UNION AVE","141A","WEAPONS VIOLATION","UNLAWFUL USE - HANDGUN","STREET","false","false","0621","006","6","71","15","1172959","1854164","2020","2020-10-13T15:49:45.000","41.755253972","-87.641718096","POINT (-87.641718096 41.755253972)","","","",""
"12186376","JD391114","2020-10-06T22:24:00.000","006XX W SCHUBERT AVE","033A","ROBBERY","ATTEMPT ARMED - HANDGUN","STREET","false","false","1935","019","43","7","03","1171426","1918439","2020","2020-10-13T15:49:45.000","41.931663765","-87.645449494","POINT (-87.645449494 41.931663765)","","","",""
"12186270","JD391145","2020-10-06T22:21:00.000","016XX W 61ST ST","1812","NARCOTICS","POSSESS - CANNABIS MORE THAN 30 GRAMS","STREET","true","false","0714","007","15","67","18","1166294","1864255","2020","2020-10-13T15:49:45.000","41.783089448","-87.665856588","POINT (-87.665856588 41.783089448)","","","",""
"12186252","JD391138","2020-10-06T22:20:00.000","055XX S RUSSELL DR","2024","NARCOTICS","POSSESS - HEROIN (WHITE)","STREET","true","false","0233","002","20","40","18","1180632","1868175","2020","2020-10-13T15:49:45.000","41.793528842","-87.613168806","POINT (-87.613168806 41.793528842)","","","",""
"12186346","JD391132","2020-10-06T22:10:00.000","045XX W 63RD ST","0312","ROBBERY","ARMED - KNIFE / CUTTING INSTRUMENT","CONVENIENCE STORE","false","false","0813","008","13","65","03","1147374","1862448","2020","2020-10-13T15:49:45.000","41.778512834","-87.735270282","POINT (-87.735270282 41.778512834)","","","",""
"12186203","JD391098","2020-10-06T22:08:00.000","056XX W NORTH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","2531","025","29","25","07","1138307","1910067","2020","2020-10-13T15:49:45.000","41.909354711","-87.767360647","POINT (-87.767360647 41.909354711)","","","",""
"12186224","JD391097","2020-10-06T22:02:00.000","055XX W HARRISON ST","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1522","015","29","25","03","1139644","1896773","2020","2020-10-13T15:49:45.000","41.872850011","-87.762773766","POINT (-87.762773766 41.872850011)","","","",""
"12186661","JD391643","2020-10-06T22:00:00.000","059XX S FAIRFIELD AVE","0850","THEFT","ATTEMPT THEFT","STREET","false","false","0824","008","16","66","06","1159060","1865128","2020","2020-10-13T15:49:45.000","41.785636118","-87.692355049","POINT (-87.692355049 41.785636118)","","","",""
"12188331","JD393513","2020-10-06T22:00:00.000","090XX S ADA ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2222","022","21","73","14","1168912","1844915","2020","2020-10-13T15:49:45.000","41.729961742","-87.656815744","POINT (-87.656815744 41.729961742)","","","",""
"12186958","JD391967","2020-10-06T22:00:00.000","006XX W DIVISION ST","0810","THEFT","OVER $500","ALLEY","false","false","1822","018","27","8","06","1171504","1908242","2020","2020-10-13T15:49:45.000","41.903680974","-87.645463417","POINT (-87.645463417 41.903680974)","","","",""
"12187482","JD391605","2020-10-06T22:00:00.000","011XX S WESTERN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1135","011","28","28","07","1160545","1895228","2020","2020-10-13T15:49:45.000","41.868203504","-87.68607886","POINT (-87.68607886 41.868203504)","","","",""
"12186745","JD391727","2020-10-06T22:00:00.000","074XX S LUELLA AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","0333","003","7","43","06","1192504","1856003","2020","2020-10-13T15:49:45.000","41.759846847","-87.57003205","POINT (-87.57003205 41.759846847)","","","",""
"12186326","JD391120","2020-10-06T22:00:00.000","012XX S PULASKI RD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","true","false","1011","010","24","29","07","1149909","1894223","2020","2020-10-13T15:49:45.000","41.865659093","-87.72515212","POINT (-87.72515212 41.865659093)","","","",""
"12186403","JD391261","2020-10-06T22:00:00.000","007XX E 83RD ST","0820","THEFT","$500 AND UNDER","APARTMENT","false","true","0631","006","8","44","06","1182751","1850127","2020","2020-10-13T15:49:45.000","41.743954397","-87.605958373","POINT (-87.605958373 41.743954397)","","","",""
"12186483","JD391400","2020-10-06T22:00:00.000","062XX S ARTESIAN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","OTHER (SPECIFY)","false","false","0825","008","16","66","14","1161111","1863176","2020","2020-10-13T15:49:45.000","41.78023736","-87.684889053","POINT (-87.684889053 41.78023736)","","","",""
"12186967","JD391893","2020-10-06T22:00:00.000","071XX S FRANCISCO AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0831","008","18","66","07","1158274","1857124","2020","2020-10-13T15:49:45.000","41.763688017","-87.695454583","POINT (-87.695454583 41.763688017)","","","",""
"12187521","JD391573","2020-10-06T22:00:00.000","031XX W 25TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","OTHER (SPECIFY)","false","true","1033","010","12","30","14","1155666","1887226","2020","2020-10-13T15:49:45.000","41.846344681","-87.704205954","POINT (-87.704205954 41.846344681)","","","",""
"12187620","JD392692","2020-10-06T22:00:00.000","0000X N LOTUS AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1522","015","29","25","14","1139951","1899809","2020","2020-10-13T15:49:45.000","41.881175585","-87.761572354","POINT (-87.761572354 41.881175585)","","","",""
"12186599","JD391406","2020-10-06T22:00:00.000","067XX S ASHLAND AVE","0488","BATTERY","AGGRAVATED DOMESTIC BATTERY - HANDGUN","APARTMENT","false","true","0725","007","16","67","04B","1166833","1860055","2020","2020-10-13T15:49:45.000","41.771552614","-87.66400029","POINT (-87.66400029 41.771552614)","","","",""
"12186450","JD391330","2020-10-06T22:00:00.000","080XX S MARQUETTE AVE","0820","THEFT","$500 AND UNDER","VEHICLE NON-COMMERCIAL","false","false","0422","004","7","46","06","1195573","1852138","2020","2020-10-13T15:49:45.000","41.749165721","-87.558911911","POINT (-87.558911911 41.749165721)","","","",""
"12186201","JD391085","2020-10-06T21:50:00.000","069XX S MAY ST","0820","THEFT","$500 AND UNDER","SIDEWALK","false","false","0733","007","6","68","06","1169852","1858688","2020","2020-10-13T15:49:45.000","41.767736388","-87.65297329","POINT (-87.65297329 41.767736388)","","","",""
"12186665","JD391115","2020-10-06T21:45:00.000","029XX N SACRAMENTO AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1411","014","33","21","08B","1155868","1919398","2020","2020-10-13T15:49:45.000","41.934623625","-87.702596721","POINT (-87.702596721 41.934623625)","","","",""
"12186267","JD391093","2020-10-06T21:45:00.000","069XX N CLARK ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESTAURANT","true","false","2424","024","49","1","14","1163584","1945817","2020","2020-10-13T15:49:45.000","42.00695915","-87.673492597","POINT (-87.673492597 42.00695915)","","","",""
"12186217","JD391102","2020-10-06T21:43:00.000","006XX E 47TH ST","2024","NARCOTICS","POSSESS - HEROIN (WHITE)","SIDEWALK","true","false","0221","002","4","38","18","1181257","1873991","2020","2020-10-13T15:49:45.000","41.809474049","-87.610697708","POINT (-87.610697708 41.809474049)","","","",""
"12186624","JD391435","2020-10-06T21:42:00.000","018XX E 72ND ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","true","0324","003","7","43","14","1189505","1857594","2020","2020-10-13T15:49:45.000","41.764285183","-87.580972191","POINT (-87.580972191 41.764285183)","","","",""
"12186337","JD391166","2020-10-06T21:40:00.000","008XX W 73RD ST","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","STREET","false","false","0733","007","6","68","04B","1171818","1856445","2020","2020-10-13T15:49:45.000","41.761538419","-87.645832746","POINT (-87.645832746 41.761538419)","","","",""
"12186226","JD391109","2020-10-06T21:40:00.000","023XX N ASHLAND AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","1811","018","2","7","08B","1165277","1915788","2020","2020-10-13T15:49:45.000","41.924522422","-87.668121549","POINT (-87.668121549 41.924522422)","","","",""
"12186314","JD391079","2020-10-06T21:39:00.000","089XX S LAFLIN ST","0495","BATTERY","AGGRAVATED OF A SENIOR CITIZEN","RESIDENCE","false","false","2222","022","21","73","04B","1167900","1845473","2020","2020-10-13T15:49:45.000","41.731514744","-87.660507027","POINT (-87.660507027 41.731514744)","","","",""
"12186218","JD391083","2020-10-06T21:34:00.000","014XX S AVERS AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","SIDEWALK","true","false","1011","010","24","29","15","1150946","1892753","2020","2020-10-13T15:49:45.000","41.861605018","-87.721383674","POINT (-87.721383674 41.861605018)","","","",""
"12186474","JD391307","2020-10-06T21:30:00.000","049XX N AVERS AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","false","1712","017","39","14","08A","1149822","1932551","2020","2020-10-13T15:49:45.000","41.970836362","-87.724472554","POINT (-87.724472554 41.970836362)","","","",""
"12187466","JD391434","2020-10-06T21:30:00.000","009XX S INDEPENDENCE BLVD","0820","THEFT","$500 AND UNDER","OTHER (SPECIFY)","false","false","1133","011","24","29","06","1151402","1895637","2020","2020-10-13T15:49:45.000","41.869510115","-87.719634086","POINT (-87.719634086 41.869510115)","","","",""
"12186560","JD391484","2020-10-06T21:30:00.000","040XX N CENTRAL PARK AVE","0810","THEFT","OVER $500","STREET","false","false","1723","017","45","16","06","1151669","1926666","2020","2020-10-13T15:49:45.000","41.954651304","-87.717836369","POINT (-87.717836369 41.954651304)","","","",""
"12186695","JD391662","2020-10-06T21:30:00.000","035XX W PALMER ST","0560","ASSAULT","SIMPLE","APARTMENT","false","true","1413","014","35","22","08A","1152630","1914399","2020","2020-10-13T15:49:45.000","41.920970709","-87.714629021","POINT (-87.714629021 41.920970709)","","","",""
"12186406","JD391280","2020-10-06T21:30:00.000","070XX S PEORIA ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0733","007","6","68","07","1171518","1858261","2020","2020-10-13T15:49:45.000","41.766528323","-87.646879156","POINT (-87.646879156 41.766528323)","","","",""
"12186743","JD391423","2020-10-06T21:30:00.000","0000X N KEDZIE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","1123","011","28","27","08B","1155040","1900260","2020","2020-10-13T15:49:45.000","41.882123956","-87.706153898","POINT (-87.706153898 41.882123956)","","","",""
"12186167","JD391080","2020-10-06T21:30:00.000","028XX S SAWYER AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","1032","010","22","30","06","1155159","1884962","2020","2020-10-13T15:49:45.000","41.840142173","-87.706127305","POINT (-87.706127305 41.840142173)","","","",""
"12189905","JD395401","2020-10-06T21:30:00.000","040XX S WABASH AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0213","002","3","38","14",,,"2020","2020-10-13T15:49:45.000",,,,,,,
"12187473","JD391730","2020-10-06T21:30:00.000","086XX S KINGSTON AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0423","004","7","46","08B","1194659","1848281","2020","2020-10-13T15:49:45.000","41.738604322","-87.562387717","POINT (-87.562387717 41.738604322)","","","",""
"12187342","JD391155","2020-10-06T21:30:00.000","052XX N PULASKI RD","0520","ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","PARK PROPERTY","false","false","1712","017","39","13","04A","1148782","1934421","2020","2020-10-13T15:49:45.000","41.975987987","-87.72824819","POINT (-87.72824819 41.975987987)","","","",""
"12186273","JD391194","2020-10-06T21:28:00.000","066XX S WENTWORTH AVE","0460","BATTERY","SIMPLE","RESTAURANT","false","false","0722","007","6","69","08B","1176103","1860852","2020","2020-10-13T15:49:45.000","41.773536673","-87.62999581","POINT (-87.62999581 41.773536673)","","","",""
"12189047","JD394344","2020-10-06T21:27:00.000","043XX S HERMITAGE AVE","1751","OFFENSE INVOLVING CHILDREN","CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER","RESIDENCE","false","false","0924","009","15","61","17",,,"2020","2020-10-13T15:49:45.000",,,,,,,
"12186202","JD391076","2020-10-06T21:23:00.000","033XX W 57TH ST","2028","NARCOTICS","POSSESS - SYNTHETIC DRUGS","STREET","true","false","0822","008","14","63","18","1155168","1866629","2020","2020-10-13T15:49:45.000","41.789833813","-87.70658495","POINT (-87.70658495 41.789833813)","","","",""
"12186383","JD391086","2020-10-06T21:23:00.000","009XX N LARRABEE ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","APARTMENT","false","false","1823","018","27","8","26","1172175","1906639","2020","2020-10-13T15:49:45.000","41.899267461","-87.643046078","POINT (-87.643046078 41.899267461)","","","",""
"12186416","JD391078","2020-10-06T21:20:00.000","021XX N WESTERN AVE","031A","ROBBERY","ARMED - HANDGUN","ALLEY","false","false","1432","014","32","22","03","1160003","1914604","2020","2020-10-13T15:49:45.000","41.921384078","-87.687533237","POINT (-87.687533237 41.921384078)","","","",""
"12186274","JD391081","2020-10-06T21:20:00.000","005XX W MARQUETTE RD","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","true","false","0722","007","6","68","15","1173961","1860487","2020","2020-10-13T15:49:45.000","41.772582874","-87.637858691","POINT (-87.637858691 41.772582874)","","","",""
"12186187","JD391055","2020-10-06T21:17:00.000","118XX S STEWART AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","STREET","false","false","0522","005","34","53","14","1175752","1826501","2020","2020-10-13T15:49:45.000","41.679280818","-87.632307985","POINT (-87.632307985 41.679280818)","","","",""
